CODIGO_SCIAN,ANIO,H010B,H010C,I100B,I100C,H010D,I100D,J000A,O110A,M710B,M710C,M999A,M310B,M310C,K316B,K316C,K910A,K411A,K951A,K412A,K961A,K610A,K810A,K710A,K500A,K931A,K999A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q000C,Q000D,ESTATUS
315191,2013,372,591,22,167,2044,350,78502,388101,10301,29156,1317,391606,0,170023,0,18190,2330,2077,2268,3028,6715,2827,36922,8324,2744,17722,31930,1627,7033,5572,5383,5962,1995,3777,Cifras definitivas
315192,2013,3181,4513,385,465,16969,1863,664097,4040158,560515,374754,125142,3156088,851350,1133787,424775,73576,59664,83388,172579,59377,85184,16273,1130738,79261,22047,166938,2371732,242816,71339,101265,43679,170415,79803,22568,Cifras definitivas
3152,2013,44459,62365,12772,12685,243845,58016,8615568,31472049,3180264,12529261,1113850,24393263,7051613,10630317,3244612,476245,286411,468852,592119,278468,2476217,280097,6149169,786507,208388,2908245,4725983,2952943,684146,469673,537435,723524,437379,42699,Cifras definitivas
315221,2013,1624,4881,1548,2318,14768,8160,513621,4385814,506560,93731,524459,3163995,1249147,1716569,238913,67273,12681,28662,25275,57504,392766,119081,945045,68481,21458,457718,465860,110508,70899,53478,69983,61820,34388,5987,Cifras definitivas
315222,2013,1896,3095,116,209,10609,666,397532,1581714,377539,194032,37067,1590622,18856,580310,103626,28214,7172,18769,22239,14225,27254,10544,364549,32176,7475,163440,150120,37575,28288,21758,20962,21633,17223,1896,Cifras definitivas
315223,2013,7661,11048,2082,3377,42149,12536,1489358,3991524,91694,3243666,102356,3705105,327804,1730860,172644,78457,65017,107115,102849,65183,543820,18108,461541,107157,28056,361633,800831,567118,164506,81820,79507,120116,95953,2941,Cifras definitivas
315229,2013,33278,43341,9026,6781,176319,36654,6215057,21512997,2204471,8997832,449968,15933541,5455806,6602578,2729429,302301,201541,314306,441756,141556,1512377,132364,4378034,578693,151399,1925454,3309172,2237742,420453,312617,366983,519955,289815,31875,Cifras definitivas
3159,2013,648,700,0,0,2981,0,169092,182811,5756,182894,3681,36807,145782,31979,60598,3145,2913,10869,6958,2917,0,1315,73,11329,0,31213,12568,25969,5412,2511,2071,4035,10373,26,Cifras definitivas
315991,2013,283,193,0,0,1108,0,34942,152042,5733,20968,1644,7899,143321,23699,53405,2811,2327,1091,1230,1725,0,77,73,3365,0,8809,8480,1493,3225,1922,1545,2013,1132,26,Cifras definitivas
315999,2013,365,507,0,0,1873,0,134150,30769,23,161926,2037,28908,2461,8280,7193,334,586,9778,5728,1192,0,1238,0,7964,0,22404,4088,24476,2187,589,526,2022,9241,0,Cifras definitivas
316,2013,35908,21077,5586,3593,130687,20940,5469959,32360809,1991838,2617973,646796,23936522,8606445,14580406,3501988,357424,146481,483857,441608,173629,1057816,158653,1731326,384316,222313,1874834,4562766,748728,489798,362039,513943,599116,444912,43938,Cifras definitivas
3161,2013,7195,2350,3423,1143,23763,10135,1238399,8718170,433067,2059166,88948,3484375,5286341,2741864,2750649,60483,73537,268684,162758,52401,611809,3115,161321,142272,55787,726189,1328871,391756,116802,52563,72559,136006,101333,8872,Cifras definitivas
316110,2013,7195,2350,3423,1143,23763,10135,1238399,8718170,433067,2059166,88948,3484375,5286341,2741864,2750649,60483,73537,268684,162758,52401,611809,3115,161321,142272,55787,726189,1328871,391756,116802,52563,72559,136006,101333,8872,Cifras definitivas
3162,2013,26711,17213,1980,2246,98792,9720,3909675,22875914,1529750,208470,540222,19904389,3096041,11528693,653630,281668,64241,195067,260993,113313,413091,144485,1555888,208770,163671,1002347,3108249,323702,338761,296726,426014,442755,336889,33822,Cifras definitivas
316211,2013,23872,14812,1569,1361,86534,6671,3434297,19951026,1518254,208470,475024,17003511,2997812,10172801,597589,224915,52869,159170,194112,71886,301231,106606,1495642,163360,102460,781983,2650401,281314,277772,267751,396033,381501,270903,32764,Cifras definitivas
316212,2013,1616,1244,0,0,6576,0,211351,1251799,11476,0,18178,1290917,14735,627796,24686,27663,5497,10711,19110,11513,0,7481,52824,24623,27463,36497,171660,13563,30529,14977,16330,24983,14098,386,Cifras definitivas
316213,2013,1223,1157,411,885,5682,3049,264027,1673089,20,0,47020,1609961,83494,728096,31355,29090,5875,25186,47771,29914,111860,30398,7422,20787,33748,183867,286188,28825,30460,13998,13651,36271,51888,672,Cifras definitivas
3169,2013,2002,1514,183,204,8132,1085,321885,766725,29021,350337,17626,547758,224063,309849,97709,15273,8703,20106,17857,7915,32916,11053,14117,33274,2855,146298,125646,33270,34235,12750,15370,20355,6690,1244,Cifras definitivas
316991,2013,609,611,0,0,2977,0,122256,139819,28869,132513,610,133972,7685,66191,1389,6714,3632,3521,5092,1503,0,262,7406,12609,20,27892,13770,6404,11673,2488,6352,4520,1013,43,Cifras definitivas
316999,2013,1393,903,183,204,5155,1085,199629,626906,152,217824,17016,413786,216378,243658,96320,8559,5071,16585,12765,6412,32916,10791,6711,20665,2835,118406,111876,26866,22562,10262,9018,15835,5677,1201,Cifras definitivas
321,2013,10637,1862,1996,565,29167,6124,1184293,10589743,27415,231003,239587,8767300,1782417,5187803,955182,48908,170638,162796,260922,232523,418100,14498,5879,115639,0,465217,2710852,1067018,393055,60141,89827,349966,165346,10454,Cifras definitivas
3211,2013,2657,227,97,21,6407,282,220334,1407718,16012,12548,68343,1403399,7421,742122,22055,99,49554,28803,21312,45745,6641,242,2629,1488,0,44843,299681,133485,90980,6050,7959,52792,12995,2567,Cifras definitivas
321111,2013,635,64,50,15,1461,160,56801,229612,992,0,1835,222719,7421,117290,0,0,6677,4983,3729,5859,3301,62,0,300,0,7642,55267,13679,12579,1371,1163,9309,2361,45,Cifras definitivas
321112,2013,1709,149,4,6,4141,15,137928,786442,15020,0,65896,784940,0,393737,22055,99,38111,20221,15763,20541,555,108,2629,1012,0,25864,210048,95920,70328,3962,6037,38299,7323,2522,Cifras definitivas
321113,2013,313,14,43,0,805,107,25605,391664,0,12548,612,395740,0,231095,0,0,4766,3599,1820,19345,2785,72,0,176,0,11337,34366,23886,8073,717,759,5184,3311,0,Cifras definitivas
3212,2013,2128,280,832,163,6023,2399,250035,3499946,3423,0,105674,3110169,373084,1391458,423856,17165,47660,69071,165659,68441,257852,10279,14,41877,0,183996,1441468,432839,90466,14599,12718,151267,106215,4734,Cifras definitivas
321210,2013,2128,280,832,163,6023,2399,250035,3499946,3423,0,105674,3110169,373084,1391458,423856,17165,47660,69071,165659,68441,257852,10279,14,41877,0,183996,1441468,432839,90466,14599,12718,151267,106215,4734,Cifras definitivas
